Scale;Original;Published_PT;Profissional_Translation_ENtoPT;Profissional_Translation_PTtoEN;Azure;DeepL;OpenAI;WidnAI
BIS-11;I change residences.;Eu troco de casa (residência).;Mudo de residência.;I move houses (residence).;I change houses (residence).;I'll move house.;I am moving houses (residence).;I am swapping homes (residence).
BIS-11;I buy things on impulse.;Eu compro coisas por impulso.;Compro coisas por impulso.;I buy things on impulse.;I buy things on impulse.;I buy things on impulse.;I buy things on impulse.;I buy things on impulse.
BIS-11;I can only think about one thing at a time.;Eu só consigo pensar em uma coisa de cada vez.;Só consigo pensar em uma coisa de cada vez.;I can only think about one thing at a time.;I can only think of one thing at a time.;I can only think of one thing at a time.;I can only think about one thing at a time.;I can only think of one thing at a time.
BIS-11;I change hobbies.;Eu troco de interesses e passatempos (“hobby”).;Mudo de hobbies.;I change interests and hobbies.;"I exchange interests and hobbies (""hobby"").";I switch interests and hobbies.;I switch interests and hobbies.;I change my interests and hobbies.
BIS-11;I spend or charge more than I earn.;Eu gasto ou compro a prestação mais do que ganho.;Gasto ou cobro mais do que ganho.;I spend or buy on credit more than I earn.;I spend or buy the installment more than I earn.;I spend or buy on installments more than I earn.;I spend or buy on installment more than I earn.;I spend or buy the installment more than I earn.
BIS-11;I often have extraneous thoughts when thinking.;Enquanto estou pensando em uma coisa, é comum que outras ideias me venham à cabeça ou ao mesmo tempo.;Frequentemente tenho pensamentos extrínsecos quando estou pensando.;While I’m thinking about one thing, it’s common for other ideas to come to mind or come at the same time.;While I'm thinking about one thing, it's common for other ideas to come to my mind or at the same time.;While I'm thinking about one thing, it's common for other ideas to pop into my head at the same time.;While I'm thinking about one thing, it's common for other ideas to come to my mind at the same time.;While I am thinking about one thing, it is common for other ideas to come to my mind either at the same time or afterwards.
BIS-11;I am more interested in the present than the future.;Eu tenho mais interesse no presente do que no futuro.;Estou mais interessado no presente do que no futuro.;I’m more interested in the present than in the future.;I have more interest in the present than in the future.;I'm more interested in the present than the future.;I am more interested in the present than in the future.;I am more interested in the present than in the future.
BIS-11;I am restless at the theater or lectures.;Eu me sinto inquieto em palestras ou aulas.;Fico inquieto no teatro ou em palestras.;I feel restless during lectures or classes.;I feel restless in lectures or classes.;I feel restless in lectures or classes.;I feel restless in lectures or classes.;I feel restless in lectures or classes.
BIS-11;I like puzzles.;Eu gosto de jogos e desafios mentais.;Gosto de quebra-cabeças.;I enjoy games and mental challenges.;I like games and mental challenges.;I like games and mental challenges.;I like games and mental challenges.;I like games and mental challenges.
BIS-11;I am future oriented.;Eu me preparo para o futuro.;Sou orientado para o futuro.;I prepare for the future.;I prepare for the future.;I'm preparing for the future.;I prepare myself for the future.;I prepare myself for the future.
DII;Often, I don't spend enough time thinking over a situation before I act.;Na maioria das vezes, eu não gasto muito tempo pensando sobre uma situação antes de agir.;Frequentemente, não passo tempo suficiente refletindo sobre uma situação antes de agir.;Most of the time, I don’t spend much time thinking about a situation before acting.;Most of the time, I don't spend a lot of time thinking about a situation before taking action.;Most of the time, I don't spend much time thinking about a situation before I act.;Most of the time, I don't spend much time thinking about a situation before acting.;Most of the time, I don't spend much time thinking about a situation before acting.
DII;I try to avoid activities where you have to act without much time to think first.;Eu tento evitar atividades nas quais tenho que agir sem muito tempo para pensar antes.;Tento evitar atividades em que tenho que agir sem muito tempo para pensar primeiro.;I try to avoid activities where I have to act without much time to think first.;I try to avoid activities that I have to act on without much time to think about it beforehand.;I try to avoid activities in which I have to act without much time to think first.;I try to avoid activities in which I have to act without much time to think beforehand.;I try to avoid activities in which I have to act without much time to think beforehand.
DII;I don't like to make decisions quickly, even simple decisions, such as choosing what to wear, or what to have for dinner.;Eu não gosto de tomar decisões rapidamente, mesmo decisões simples, como escolher o que vestir ou o que comer no jantar.;Não gosto de tomar decisões rapidamente, mesmo decisões simples, como escolher o que vestir ou o que comer no jantar.;I don’t like making quick decisions, even simple ones like choosing what to wear or what to eat for dinner.;I don't like to make decisions quickly, even simple decisions like choosing what to wear or what to eat for dinner.;I don't like making quick decisions, even simple ones like choosing what to wear or what to have for dinner.;I don't like to make decisions quickly, even simple decisions, like choosing what to wear or what to eat for dinner.;I don't like to make decisions quickly, even simple ones, like choosing what to wear or what to eat for dinner.
DII;I enjoy working out problems slowly and carefully.;Eu gosto de resolver problemas de forma lenta e cuidadosa.;Gosto de resolver problemas de forma lenta e cuidadosa.;I like to solve problems slowly and carefully.;I like to solve problems slowly and carefully.;I like to solve problems slowly and carefully.;I like to solve problems slowly and carefully.;I like to solve problems slowly and carefully.
DII;I am good at taking advantage of unexpected opportunities, where you have to do something immediately or lose your chance.;Eu sou bom em aproveitar oportunidades inesperadas, em que você tem que fazer algo imediatamente, ou perde sua chance.;Sou bom em aproveitar oportunidades inesperadas, onde você precisa agir imediatamente ou perderá sua chance.;I am good at taking advantage of unexpected opportunities, where you have to act immediately or miss your chance.;I'm good at taking advantage of unexpected opportunities, where you have to do something right away, or you miss your chance.;I'm good at seizing unexpected opportunities, where you have to do something immediately or you lose your chance.;I am good at seizing unexpected opportunities, where you have to do something immediately, or you lose your chance.;I'm good at seizing unexpected opportunities, where you have to do something immediately, or you lose your chance.
DII;I would enjoy working at a job that required me to make a lot of split-second decisions.;Eu gostaria de trabalhar em um emprego que me exigisse tomar várias decisões em frações de segundo.;Gostaria de trabalhar em um emprego que exigisse que eu tomasse muitas decisões em frações de segundo.;I would like to work at a job that required me to make many split-second decisions.;I would like to work in a job that requires me to make several split-second decisions.;I'd like to work in a job that requires me to make several split-second decisions.;I would like to work in a job that required me to make several decisions in fractions of a second.;I would like to work in a job that requires me to make several decisions in fractions of a second.
DII;I often make up my mind without taking the time to consider the situation from all angles.;Eu frequentemente tomo decisões sem gastar tempo analisando a situação de todos os ângulos.;Frequentemente, tomo decisões sem dedicar tempo para considerar a situação de todos os ângulos.;I often make decisions without spending time analyzing the situation from all angles.;I often make decisions without spending time analyzing the situation from all angles.;I often make decisions without spending time analyzing the situation from all angles.;I often make decisions without spending time analyzing the situation from all angles.;I often make decisions without spending time analyzing the situation from all angles.
DII;I have often missed out on opportunities because I couldn't make up my mind fast enough.;Muitas vezes perco oportunidades porque eu não consigo decidir com rapidez suficiente.;Muitas vezes perdi oportunidades porque não consegui me decidir rápido o suficiente.;I often miss opportunities because I can’t decide quickly enough.;I often miss opportunities because I can't decide quickly enough.;I often miss opportunities because I can't decide quickly enough.;I often miss opportunities because I can't make decisions quickly enough.;I often miss opportunities because I can't decide quickly enough.
DII;I often say and do things without considering the consequences.;Eu frequentemente digo e faço coisas sem levar em conta as consequências.;Frequentemente, digo e faço coisas sem considerar as consequências.;I often say and do things without considering the consequences.;I often say and do things without regard for the consequences.;I often say and do things without considering the consequences.;I often say and do things without considering the consequences.;I often say and do things without considering the consequences.
DII;I frequently make appointments without thinking about whether I will be able to keep them.;Eu frequentemente marco compromissos sem pensar se vou ser capaz de cumpri-los.;Frequentemente, marco compromissos sem pensar se serei capaz de cumpri-los.;I often schedule appointments without thinking about whether I’ll be able to keep them.;I often make appointments without thinking about whether I'll be able to fulfill them.;I often make appointments without thinking about whether I'll be able to keep them.;I often schedule appointments without thinking about whether I will be able to keep them.;I often make appointments without thinking about whether I'll be able to keep them.
DII;I am uncomfortable when I have to make up my mind rapidly.;Eu me sinto desconfortável quando tenho que tomar decisões rápidas;Me sinto desconfortável quando tenho que tomar uma decisão rapidamente.;I feel uncomfortable when I have to make quick decisions.;I feel uncomfortable when I have to make quick decisions;I feel uncomfortable when I have to make quick decisions;I feel uncomfortable when I have to make quick decisions.;I feel uncomfortable when I have to make quick decisions
DII;I don't like to do things quickly, even when I am doing something that is not very difficult.;Eu não gosto de fazer coisas rapidamente, mesmo quando eu estou fazendo algo que não é muito difícil.;Não gosto de fazer as coisas rapidamente, mesmo quando estou fazendo algo que não é muito difícil.;I don’t like doing things quickly, even when I’m doing something that’s not very difficult.;I don't like to do things quickly, even when I'm doing something that's not too difficult.;I don't like doing things quickly, even when I'm doing something that isn't too difficult.;I don't like to do things quickly, even when I'm doing something that isn't very difficult.;I don't like to do things quickly, even when I'm doing something that's not very difficult.
DII;I frequently buy things without thinking about whether or not I can really afford them.;Eu frequentemente compro coisas sem pensar se realmente posso ou não adquiri-las.;Frequentemente, compro coisas sem pensar se realmente posso pagá-las.;I often buy things without thinking whether I can really afford them.;I often buy things without thinking about whether or not I can actually afford them.;I often buy things without thinking about whether or not I can actually afford them.;I often buy things without thinking about whether I can really afford them or not.;I often buy things without thinking about whether I can really afford them or not.
DII;I'm good at careful reasoning.;Eu sou bom em raciocinar cuidadosamente.;Sou bom em ponderar cuidadosamente.;I am good at reasoning carefully.;I'm good at reasoning carefully.;I'm good at thinking things through.;I am good at reasoning carefully.;I am good at reasoning carefully.
DII;I like to take part in really fast-paced conversations, where you don't have much time to think before you speak.;Eu gosto de participar de conversas rápidas, nas quais você não tem muito tempo para pensar antes de falar.;Gosto de participar de conversas realmente rápidas, onde você não tem muito tempo para pensar antes de falar.;I like to participate in fast-paced conversations here you don’t have much time to think before speaking.;I like to participate in quick conversations, in which you don't have much time to think before speaking.;I like to take part in quick conversations where you don't have much time to think before you speak.;I like to participate in quick conversations, where you don't have much time to think before speaking.;I like to participate in quick conversations, where you don't have much time to think before speaking.
DII;I like sports and games in which you have to choose your next move very quickly.;Eu gosto de esportes e jogos nos quais você tem que decidir o próximo movimento muito rapidamente.;Gosto de esportes e jogos nos quais você precisa escolher seu próximo movimento muito rapidamente.;I like sports and games in which you have to decide your next move very quickly.;I like sports and games in which you have to decide the next move very quickly.;I like sports and games where you have to decide on your next move very quickly.;I like sports and games in which you have to decide your next move very quickly.;I like sports and games where you have to decide the next move very quickly.
DII;Many times the plans I make don't work out because I haven't gone over them carefully enough in advance.;Muitas vezes os planos que faço não funcionam porque eu não os examinei suficientemente com cuidado em antecedência.;Muitas vezes, os planos que faço não dão certo porque não os revisei cuidadosamente com antecedência.;Often the plans I make don’t work out because I didn’t examine them carefully enough in advance.;Often the plans I make don't work because I haven't examined them carefully enough in advance.;Often the plans I make don't work because I haven't examined them carefully enough in advance.;Often the plans I make don't work because I haven't examined them carefully enough in advance.;Many times the plans I make do not work because I have not examined them carefully enough in advance.
DII;I often get into trouble because I don't think before I act.;Eu costumo ter problemas por não pensar antes de agir.;Frequentemente, me envolvo em problemas porque não penso antes de agir.;I often get into trouble for not thinking before acting.;I tend to get in trouble for not thinking before acting.;I often get into trouble for not thinking before I act.;I usually have problems because I don't think before I act.;I usually have problems because I don't think before I act.
DII;Most of the time, I can put my thoughts into words very rapidly.;Na maioria das vezes, eu posso transformar rapidamente meus pensamentos em palavras.;Na maioria das vezes, consigo expressar meus pensamentos em palavras muito rapidamente.;Most of the time, I can quickly turn my thoughts into words.;Most of the time, I can quickly turn my thoughts into words.;Most of the time, I can quickly turn my thoughts into words.;Most of the time, I can quickly turn my thoughts into words.;Most of the time, I can quickly turn my thoughts into words.
DII;People have admired me because I can think quickly.;As pessoas me admiram por eu pensar rapidamente.;As pessoas me admiram porque consigo pensar rapidamente.;People admire me for thinking quickly.;People admire me for thinking quickly.;People admire me for my quick thinking.;People admire me because I think quickly.;People admire me for thinking quickly.
DII;I will often say whatever comes into my head without thinking first.;Eu costumo dizer as coisas que vêm a minha mente sem pensar antes.;Costumo dizer o que me vem à cabeça sem pensar primeiro.;I tend to say whatever comes to my mind without thinking first.;I usually say the things that come to my mind without thinking about it first.;I tend to say the things that come into my head without thinking first.;I usually say things that come to my mind without thinking first.;I usually say things that come to my mind without thinking before.
DII;Before making any important decision, I carefully weigh the pros and cons.;Antes de tomar qualquer decisão importante eu peso cuidadosamente nos prós e contras.;Antes de tomar qualquer decisão importante, avalio cuidadosamente os prós e contras.;Before making any important decision, I carefully weigh the pros and cons.;Before making any major decisions I weigh carefully the pros and cons.;Before making any important decision, I carefully weigh up the pros and cons.;Before making any important decision, I carefully weigh the pros and cons.;Before making any important decision, I carefully weigh the pros and cons.
DII;I rarely get involved in projects without first considering the potential problems.;Eu raramente me envolvo em projetos sem primeiro considerar os possíveis problemas.;Raramente me envolvo em projetos sem primeiro considerar os problemas potenciais.;I rarely get involved in projects without first considering the possible problems.;I rarely get involved in projects without first considering the potential problems.;I rarely get involved in projects without first considering the possible problems.;I rarely get involved in projects without first considering the possible problems.;I rarely get involved in projects without first considering the possible problems.
PSDQ;I am responsive to our child’s feelings or needs.;Eu respondo aos sentimentos ou necessidades do(a) meu (minha) filho(a);Sou sensível aos sentimentos ou necessidades do nosso filho.;I respond to my child’s feelings or needs.;I respond to my child's feelings or needs;I respond to my child's feelings or needs;I respond to the feelings or needs of my son/daughter.;I respond to my child's feelings or needs
PSDQ;I use physical punishment as a way of disciplining our child.;Eu uso castigos físicos como forma de disciplinar meu (minha) filho(a).;Uso punição física como uma forma de disciplinar nosso filho.;I use physical punishment as a way to discipline my child.;I use physical punishment as a way to discipline my child.;I use physical punishment as a way of disciplining my child.;I use physical punishment as a way to discipline my son/daughter.;I use physical punishment as a way to discipline my child.
PSDQ;I take our child’s desires into account before asking the child to do something.;Eu levo em conta a vontade do(a) meu (minha) filho(a) antes de lhe pedir para fazer alguma coisa.;Levo em consideração os desejos do nosso filho antes de pedir que ele faça algo.;I take my child’s wishes into account before asking him/her to do something.;I take into account my child's will before asking him or her to do something.;I take my child's wishes into account before asking them to do anything.;I take into account my child's wishes before asking him/her to do something.;I take into account my child's wishes before asking them to do something.
PSDQ;When our child asks why (he)(she) has to conform, I state: because I said so or I am your parent and I want you to.;"Quando meu (minha) filho(a) pergunta por que tem que obedecer, eu digo: ‘‘Porque eu disse que sim’’ ou ‘‘Porque eu sou seu (sua) pai/mãe e eu quero assim""";Quando nosso filho pergunta por que ele tem que se conformar, eu digo: porque eu disse ou eu sou seu pai/sua mãe e eu quero que você faça isso.;"When my child asks why he/she has to obey, I say: ""Because I said so"" or ""Because I’m your parent and I want it that way.""";"When my child asks why he or she has to obey, I say: ""Because I said yes"" or ""Because I am your father or mother and I want it that way""";"When my child asks why he/she has to obey, I say: ""Because I said so"" or ""Because I'm your father/mother and I want it that way"".";"When my son (daughter) asks why they have to obey, I say: ""Because I said so"" or ""Because I am your father/mother and I want it that way.""";"When my son/daughter asks why they have to obey, I say: ""Because I said so"" or ""Because I am your father/mother and I want it that way."""
PSDQ;I explain to our child how we feel about the child’s good and bad behavior.;Eu explico ao (á) meu (minha) filho(a) como me sinto em relação ao seu bom e ao seu mau comportamento.;Explico ao nosso filho como nos sentimos em relação ao bom e ao mau comportamento dele.;I explain to my child how I feel about his/her good and bad behavior.;I explain to my child how I feel about their good and bad behavior.;I explain to my child how I feel about their good and bad behavior.;I explain to my son (daughter) how I feel about his (her) good and bad behavior.;I explain to my child how I feel about their good and bad behavior.
PSDQ;I spank when our child is disobedient.;Quando meu (minha) filho(a) é desobediente, eu dou uma palmada nele(a);Dou palmadas quando nosso filho é desobediente.;When my child is disobedient, I spank him/her.;When my child is naughty, I slap him or her;When my child is disobedient, I spank him or her;When my son (daughter) is disobedient, I spank him (her).;When my child is disobedient, I give him/her a spanking
PSDQ;I encourage our child to talk about the child’s troubles.;Eu encorajo meu (minha) filho(a) a conversar sobre seus problemas.;Incentivo nosso filho a falar sobre os problemas dele.;I encourage my child to talk about his/her problems.;I encourage my child to talk about their problems.;I encourage my child to talk about their problems.;I encourage my son (daughter) to talk about his (her) problems.;I encourage my son/daughter to talk about their problems.
PSDQ;I find it difficult to discipline our child.;Eu acho difícil disciplinar meu (minha) filho(a).;Acho difícil disciplinar nosso filho.;I find it hard to discipline my child.;I find it difficult to discipline my child.;I find it difficult to discipline my child.;I find it hard to discipline my son (daughter).;I find it difficult to discipline my son/daughter.
PSDQ;I encourage our child to freely express (himself)(herself) even when disagreeing with parents.;Eu encorajo meu (minha) filho(a) a se expressar abertamente, mesmo quando eu não concordo com ele(a).;Incentivo nosso filho a se expressar livremente, mesmo quando discorda dos pais.;I encourage my child to express him/herself openly, even when I don’t agree.;I encourage my child to express themselves openly, even when I don't agree with them.;I encourage my child to express him/herself openly, even when I don't agree with him/her.;I encourage my son (daughter) to express themselves openly, even when I don't agree with him (her).;I encourage my son/daughter to express themselves openly, even when I don't agree with them.
PSDQ;I punish by taking privileges away from our child with little if any explanations.;Eu castigo meu (minha) filho(a) lhe tirando privilégios com pouca ou nenhuma explicação;Castigo tirando privilégios do nosso filho com poucas ou nenhuma explicação.;I punish my child by taking away privileges with little or no explanation.;I punish my son (my) son by taking away privileges with little or no explanation;I punish my child by taking away privileges with little or no explanation;I punish my son/daughter by taking away privileges with little or no explanation.;I punish my child by taking away privileges with little or no explanation
PSDQ;I emphasize the reasons for rules.;Eu explico os motivos para as regras.;Enfatizo as razões para as regras.;I explain the reasons behind the rules.;I explain the reasons for the rules.;I explain the reasons for the rules.;I explain the reasons for the rules.;I explain the reasons for the rules.
PSDQ;I give comfort and understanding when our child is upset.;Eu dou conforto e compreensão ao(à) meu (minha) filho(a) quando ele(a) está chateado(a) ;Dou conforto e compreensão quando nosso filho está chateado.;I give comfort and understanding to my child when he/she is upset.;I give comfort and understanding to my child when he/she is upset ;I give comfort and understanding to my child when he or she is upset;I give comfort and understanding to my son/daughter when he/she is upset.;I give comfort and understanding to my child when he/she is upset 
PSDQ;I yell or shout when our child misbehaves.;Eu grito ou berro quando meu (minha) filho(a) se comporta mal.;Grito ou berro quando nosso filho se comporta mal.;I yell or shout when my child misbehaves.;I scream or scream when my child misbehaves.;I shout or scream when my child misbehaves.;I yell or scream when my son/daughter misbehaves.;I shout or scream when my child misbehaves.
PSDQ;I give praise when our child is good.;Eu parabenizo meu (minha) filho(a) quando ele(a) se comporta bem.;Elogio quando nosso filho se comporta bem.;I praise my child when he/she behaves well.;I congratulate my child when he or she behaves well.;I congratulate my child when he or she behaves well.;I congratulate my son (daughter) when he (she) behaves well.;I praise my son/daughter when he/she behaves well.
PSDQ;I give into our child when the child causes a commotion about something.;Eu acabo cedendo quando meu (minha) filho(a) faz birra por alguma coisa.;Cedo ao nosso filho quando ele faz uma confusão sobre algo.;I end up giving in when my child throws a tantrum for something.;I end up giving in when my child throws a tantrum over something.;I end up giving in when my child throws a tantrum about something.;I end up giving in when my son (daughter) throws a tantrum over something.;I end up giving in when my child throws a tantrum over something.
PSDQ;I explode in anger towards our child.;Eu tenho explosões de raiva com meu (minha) filho(a).;Tenho uma explosão de raiva com nosso filho.;I have angry outbursts with my child.;I have angry outbursts with my child.;I have angry outbursts with my child.;I have bursts of anger with my son (daughter).;I have angry outbursts with my son/daughter.
PSDQ;I threaten our child with punishment more often than actually giving it.;Eu ameaço castigar meu (minha) filho(a) mais vezes do que realmente o(a) castigo.;Ameaço nosso filho com punição mais frequentemente do que realmente aplico.;I threaten to punish my child more often than I actually do.;I threaten to punish my child more times than I actually punish him/her.;I threaten to punish my child more often than I actually do.;I threaten to punish my son (daughter) more often than I actually do.;I threaten to punish my son/daughter more often than I actually do.
PSDQ;I take into account our child’s preferences in making plans for the family.;Eu levo em consideração as preferências do(a) meu (minha) filho(a) ao fazer planos para a família.;Levo em consideração as preferências do nosso filho ao fazer planos para a família.;I take my child’s preferences into account when making family plans.;I take my child's preferences into account when making family plans.;I take my child's preferences into account when making plans for the family.;I take into account my child's preferences when making plans for the family.;I take my child's preferences into account when making plans for the family.
PSDQ;I grab our child when he/she is being disobedient.;Eu seguro com força meu (minha) filho(a) quando ele(a) é desobediente.;Pego nosso filho quando ele está sendo desobediente.;I grab my child forcefully when he/she is disobedient.;I hold my child tightly when he or she is disobedient.;I hold my child tightly when he or she is disobedient.;I hold my son (daughter) tightly when he (she) is disobedient.;I hold my son/daughter firmly when he/she is disobedient.
PSDQ;I state punishments to our child and do not actually do them.;Eu determino castigos para meu (minha) filho(a), mas não os cumpro realmente;Estabeleço punições para nosso filho e não as cumpro de fato.;I assign punishments to my child but don’t actually enforce them.;I determine punishments for my child, but I don't really fulfill them;I set punishments for my child, but I don't actually carry them out;I set punishments for my son (daughter), but I don't really enforce them.;I set punishments for my son/daughter, but I don't really enforce them
PSDQ;I show respect for our child’s opinions by encouraging our child to express them.;Eu mostro respeito pelas opiniões do(a) meu (minha) filho(a) lhe encorajando a expressá-las. ;Mostro respeito pelas opiniões do nosso filho, incentivando-o a expressá-las.;I show respect for my child’s opinions by encouraging him/her to express them.;I show respect for my child's opinions by encouraging them to express them. ;I show respect for my child's opinions by encouraging them to express them.;I show respect for my child's opinions by encouraging them to express them.;I show respect for my child's opinions by encouraging them to express them. 
PSDQ;I allow our child to give input into family rules.;Eu permito que meu (minha) filho(a) dê opiniões nas regras da família.;Permito que nosso filho dê sugestões nas regras da família.;I allow my child to have input on the family rules.;I allow my child to give opinions on the family rules.;I allow my child to have a say in the family rules.;I allow my son (daughter) to give opinions on the family rules.;I allow my son/daughter to give opinions on the family rules.
PSDQ;I scold and criticize to make our child improve.;Eu repreendo e critico duramente meu (minha) filho(a) para fazê-lo(a) melhorar.;Repreendo e critico para fazer nosso filho melhorar.;I scold and harshly criticize my child to make him/her improve.;I scold and harshly criticize my child to make him or her better.;I scold and criticize my child harshly in order to make him or her improve.;I scold and harshly criticize my son/daughter to make him/her better.;I scold and harshly criticize my son/daughter to make him/her improve.
PSDQ;I spoil our child.;Eu mimo meu (minha) filho(a).;Mimo nosso filho.;I spoil my child.;I spoil my child.;I pamper my child.;I spoil my son (daughter).;I pamper my son/daughter.
PSDQ;I give our child reasons why rules should be obeyed.;Eu explico ao(à) meu (minha) filho(a) as razões pelas quais as regras devem ser obedecidas. ;Dou ao nosso filho razões pelas quais as regras devem ser obedecidas.;I explain to my child the reasons why rules must be followed.;I explain to my child the reasons why the rules must be obeyed. ;I explain to my child the reasons why the rules must be obeyed.;I explain to my son (daughter) the reasons why the rules must be obeyed.;I explain to my child the reasons why rules should be obeyed. 
PSDQ;I use threats as punishment with little or no justification.;Eu uso ameaças como forma de castigo com pouca ou nenhuma justificativa.;Uso ameaças como punição com pouca ou nenhuma justificativa.;I use threats as punishment with little or no justification.;I use threats as a form of punishment with little or no justification.;I use threats as a form of punishment with little or no justification.;I use threats as a form of punishment with little or no justification.;I use threats as a form of punishment with little or no justification.
PSDQ;I have warm and intimate times together with our child.;Eu tenho momentos calorosos e especiais com o(a) meu (minha) filho(a);Tenho momentos carinhosos e íntimos junto com nosso filho.;I have warm and special moments with my child.;I have warm and special moments with my child;I have warm and special moments with my child;I have warm and special moments with my son/daughter.;I have warm and special moments with my child
PSDQ;I punish by putting our child off somewhere alone with little if any explanations.;Como uma forma de castigo, eu coloco meu (minha) filho(a) em algum lugar sozinho(a), mas sem dar muita explicação.;Castigo colocando nosso filho em algum lugar sozinho, com poucas ou nenhuma explicação.;As a form of punishment, I place my child alone somewhere, but without much explanation.;As a form of punishment, I put my child somewhere alone, but without giving much explanation.;As a form of punishment, I put my child somewhere alone, but without giving much explanation.;As a form of punishment, I put my son (daughter) somewhere alone, but without giving much explanation.;As a form of punishment, I put my child somewhere alone, but without giving much explanation.
