Scale;Original;Published_PT;Profissional_Translation_ENtoPT;Profissional_Translation_PTtoEN;Azure;DeepL;OpenAI;WidnAI
BIS-11;I “squirm” at plays or lectures.;Eu fico me contorcendo na cadeira em peças de teatro ou palestras.;"""Me contorço"" em peças de teatro ou palestras.";I squirm in my seat during plays or lectures.;"Eu ""me contorço"" em peças ou palestras.";"Eu me ""contorço"" em peças de teatro ou palestras.";"Eu me ""contorço"" em peças de teatro ou palestras.";"Eu me ""contorço"" em peças de teatro ou palestras."
BIS-11;I am a careful thinker.;Eu penso nas coisas com cuidado.;Sou uma pessoa que pensa com cuidado.;I think things through carefully.;Eu sou um pensador cuidadoso.;Sou um pensador cuidadoso.;Eu sou um pensador cuidadoso.;Eu sou um pensador cuidadoso.
BIS-11;I plan for job security.;Eu faço planos para me manter no emprego (eu cuido para não perder meu emprego).;Planejo para a segurança no emprego.;I make plans to keep my job (I make sure not to lose my job).;Eu planejo a segurança no emprego.;Eu planejo a segurança do emprego.;Eu planejo para ter segurança no emprego.;Eu planejo a segurança no emprego.
BIS-11;I say things without thinking.;Eu falo coisas sem pensar.;Digo coisas sem pensar.;I say things without thinking.;Eu digo coisas sem pensar.;Eu digo coisas sem pensar.;Eu digo coisas sem pensar.;Eu digo coisas sem pensar.
BIS-11;I like to think about complex problems.;Eu gosto de pensar em problemas complexos.;Gosto de pensar sobre problemas complexos.;I enjoy thinking about complex problems.;Gosto de pensar em problemas complexos.;Gosto de pensar em problemas complexos.;Gosto de pensar em problemas complexos.;Eu gosto de pensar sobre problemas complexos.
BIS-11;I change jobs.;Eu troco de emprego.;Mudo de emprego.;I change jobs.;Eu mudo de emprego.;Eu mudo de emprego.;Eu mudo de emprego.;Eu mudo de emprego.
BIS-11;I act “on impulse.”;Eu ajo por impulso.;"Ajo ""por impulso"".";I act on impulse.;"Eu ajo ""por impulso"".";"Eu ajo ""por impulso"".";"Eu ajo ""por impulso.""";Eu atuo “por impulso”.
BIS-11;I get easily bored when solving thought problems.;Eu fico entediado com facilidade quando estou resolvendo problemas mentalmente.;Fico entediado facilmente ao resolver problemas de raciocínio.;I get bored easily when solving mental problems.;Eu fico facilmente entediado ao resolver problemas de pensamento.;Fico facilmente entediado ao resolver problemas de raciocínio.;Eu fico facilmente entediado ao resolver problemas de raciocínio.;Eu me aborreço facilmente ao resolver problemas de pensamento.
BIS-11;I act on the spur of the moment.;Eu ajo no “calor” do momento.;"Ajo no ""calor do momento"".";I act in the heat of the moment.;Eu ajo no calor do momento.;Ajo de acordo com o impulso do momento.;Eu ajo por impulso.;Eu ajo no calor do momento.
BIS-11;I am a steady thinker.;Eu mantenho a linha de raciocínio (“não perco o fio da meada”).;Sou um pensador constante.;I stay on track (I don’t lose my train of thought).;Eu sou um pensador constante.;Sou um pensador estável.;Eu sou um pensador constante.;Eu sou um pensador constante.
BIS-11;I change residences.;Eu troco de casa (residência).;Mudo de residência.;I move houses (residence).;Eu mudo de residência.;Eu mudo de residência.;Eu mudo de residências.;Eu mudo de residência.
BIS-11;I buy things on impulse.;Eu compro coisas por impulso.;Compro coisas por impulso.;I buy things on impulse.;Eu compro coisas por impulso.;Eu compro coisas por impulso.;Eu compro coisas por impulso.;Eu compro coisas por impulso.
BIS-11;I can only think about one thing at a time.;Eu só consigo pensar em uma coisa de cada vez.;Só consigo pensar em uma coisa de cada vez.;I can only think about one thing at a time.;Só consigo pensar em uma coisa de cada vez.;Só consigo pensar em uma coisa de cada vez.;Só consigo pensar em uma coisa de cada vez.;Eu só consigo pensar em uma coisa de cada vez.
BIS-11;I change hobbies.;Eu troco de interesses e passatempos (“hobby”).;Mudo de hobbies.;I change interests and hobbies.;Eu mudo de hobbies.;Eu mudo de hobby.;Eu troco de hobbies.;Eu mudo de hobbies.
BIS-11;I spend or charge more than I earn.;Eu gasto ou compro a prestação mais do que ganho.;Gasto ou cobro mais do que ganho.;I spend or buy on credit more than I earn.;Eu gasto ou cobro mais do que ganho.;Eu gasto ou cobro mais do que ganho.;Eu gasto ou cobro mais do que eu ganho.;Eu gasto ou fico devendo mais do que ganho.
BIS-11;I often have extraneous thoughts when thinking.;Enquanto estou pensando em uma coisa, é comum que outras ideias me venham à cabeça ou ao mesmo tempo.;Frequentemente tenho pensamentos extrínsecos quando estou pensando.;While I’m thinking about one thing, it’s common for other ideas to come to mind or come at the same time.;Muitas vezes tenho pensamentos estranhos quando penso.;Muitas vezes tenho pensamentos estranhos quando estou pensando.;Eu frequentemente tenho pensamentos extraneous quando estou pensando.;Eu frequentemente tenho pensamentos externos quando estou pensando.
BIS-11;I am more interested in the present than the future.;Eu tenho mais interesse no presente do que no futuro.;Estou mais interessado no presente do que no futuro.;I’m more interested in the present than in the future.;Estou mais interessado no presente do que no futuro.;Estou mais interessado no presente do que no futuro.;Estou mais interessado no presente do que no futuro.;Estou mais interessado no presente do que no futuro.
BIS-11;I am restless at the theater or lectures.;Eu me sinto inquieto em palestras ou aulas.;Fico inquieto no teatro ou em palestras.;I feel restless during lectures or classes.;Estou inquieto no teatro ou nas palestras.;Fico inquieto no teatro ou em palestras.;Fico inquieto no teatro ou em palestras.;Eu fico inquieto no teatro ou em palestras.
BIS-11;I like puzzles.;Eu gosto de jogos e desafios mentais.;Gosto de quebra-cabeças.;I enjoy games and mental challenges.;Eu gosto de quebra-cabeças.;Gosto de quebra-cabeças.;Eu gosto de quebra-cabeças.;Eu gosto de quebra-cabeças.
BIS-11;I am future oriented.;Eu me preparo para o futuro.;Sou orientado para o futuro.;I prepare for the future.;Eu sou orientado para o futuro.;Sou orientado para o futuro.;Eu sou voltado para o futuro.;Eu sou orientado para o futuro.
DII;Often, I do not spend enough time thinking over a situation before I act.;Na maioria das vezes, eu não gasto muito tempo pensando sobre uma situação antes de agir.;Frequentemente, não passo tempo suficiente refletindo sobre uma situação antes de agir.;Most of the time, I don’t spend much time thinking about a situation before acting.;Muitas vezes, não passo tempo suficiente pensando em uma situação antes de agir.;Muitas vezes, não passo tempo suficiente pensando em uma situação antes de agir.;Muitas vezes, eu não passo tempo suficiente refletindo sobre uma situação antes de agir.;Muitas vezes, não passo tempo suficiente pensando sobre uma situação antes de agir.
DII;I try to avoid activities where you have to act without much time to think first.;Eu tento evitar atividades nas quais tenho que agir sem muito tempo para pensar antes.;Tento evitar atividades em que tenho que agir sem muito tempo para pensar primeiro.;I try to avoid activities where I have to act without much time to think first.;Tento evitar atividades em que você tem que agir sem muito tempo para pensar primeiro.;Tento evitar atividades em que você tenha que agir sem muito tempo para pensar primeiro.;Eu tento evitar atividades nas quais você tem que agir sem muito tempo para pensar antes.;Eu tento evitar atividades nas quais você tem que agir sem ter muito tempo para pensar antes.
DII;I do not like to make decisions quickly, even simple decisions, such as choosing what to wear, or what to have for dinner.;Eu não gosto de tomar decisões rapidamente, mesmo decisões simples, como escolher o que vestir ou o que comer no jantar.;Não gosto de tomar decisões rapidamente, mesmo decisões simples, como escolher o que vestir ou o que comer no jantar.;I don’t like making quick decisions, even simple ones like choosing what to wear or what to eat for dinner.;Não gosto de tomar decisões rapidamente, mesmo decisões simples, como escolher o que vestir ou o que comer no jantar.;Não gosto de tomar decisões rapidamente, nem mesmo decisões simples, como escolher o que vestir ou o que comer no jantar.;Eu não gosto de tomar decisões rapidamente, mesmo decisões simples, como escolher o que vestir ou o que jantar.;Eu não gosto de tomar decisões rapidamente, mesmo decisões simples, como escolher o que vestir ou o que comer no jantar.
DII;I enjoy working out problems slowly and carefully.;Eu gosto de resolver problemas de forma lenta e cuidadosa.;Gosto de resolver problemas de forma lenta e cuidadosa.;I like to solve problems slowly and carefully.;Gosto de resolver problemas devagar e com cuidado.;Gosto de resolver os problemas de forma lenta e cuidadosa.;Eu gosto de resolver problemas devagar e com cuidado.;Eu gosto de resolver problemas lentamente e com cuidado.
DII;I am good at taking advantage of unexpected opportunities, where you have to do something immediately or lose your chance.;Eu sou bom em aproveitar oportunidades inesperadas, em que você tem que fazer algo imediatamente, ou perde sua chance.;Sou bom em aproveitar oportunidades inesperadas, onde você precisa agir imediatamente ou perderá sua chance.;I am good at taking advantage of unexpected opportunities, where you have to act immediately or miss your chance.;Sou bom em aproveitar oportunidades inesperadas, onde você tem que fazer algo imediatamente ou perder sua chance.;Sou bom em tirar proveito de oportunidades inesperadas, nas quais é preciso fazer algo imediatamente ou perder a chance.;Sou bom em aproveitar oportunidades inesperadas, onde você precisa agir imediatamente ou perder a chance.;Eu sou bom em aproveitar oportunidades inesperadas, onde você tem que fazer algo imediatamente ou perder sua chance.
DII;I would enjoy working at a job that required me to make a lot of split-second decisions.;Eu gostaria de trabalhar em um emprego que me exigisse tomar várias decisões em frações de segundo.;Gostaria de trabalhar em um emprego que exigisse que eu tomasse muitas decisões em frações de segundo.;I would like to work at a job that required me to make many split-second decisions.;Eu gostaria de trabalhar em um emprego que exigisse que eu tomasse muitas decisões em frações de segundo.;Eu gostaria de trabalhar em um emprego que exigisse que eu tomasse muitas decisões em frações de segundo.;Eu gostaria de trabalhar em um emprego que exigisse que eu tomasse muitas decisões rápidas.;Eu gostaria de trabalhar em um emprego que me exigisse tomar muitas decisões em frações de segundo.
DII;I often make up my mind without taking the time to consider the situation from all angles.;Eu frequentemente tomo decisões sem gastar tempo analisando a situação de todos os ângulos.;Frequentemente, tomo decisões sem dedicar tempo para considerar a situação de todos os ângulos.;I often make decisions without spending time analyzing the situation from all angles.;Muitas vezes me decido sem ter tempo para considerar a situação de todos os ângulos.;Muitas vezes, eu me decido sem ter tempo para considerar a situação de todos os ângulos.;Eu frequentemente tomo decisões sem dedicar tempo para considerar a situação de todos os ângulos.;Eu muitas vezes tomo uma decisão sem me dar tempo para considerar a situação de todos os ângulos.
DII;I have often missed out on opportunities because I could not make up my mind fast enough.;Muitas vezes perco oportunidades porque eu não consigo decidir com rapidez suficiente.;Muitas vezes perdi oportunidades porque não consegui me decidir rápido o suficiente.;I often miss opportunities because I can’t decide quickly enough.;Muitas vezes perdi oportunidades porque não conseguia me decidir rápido o suficiente.;Muitas vezes perdi oportunidades porque não consegui me decidir com rapidez suficiente.;Muitas vezes perdi oportunidades porque não conseguia me decidir rapidamente.;Muitas vezes perdi oportunidades porque não conseguia tomar uma decisão rápido o suficiente.
DII;I often say and do things without considering the consequences.;Eu frequentemente digo e faço coisas sem levar em conta as consequências.;Frequentemente, digo e faço coisas sem considerar as consequências.;I often say and do things without considering the consequences.;Costumo dizer e fazer coisas sem considerar as consequências.;Muitas vezes digo e faço coisas sem considerar as consequências.;Eu frequentemente digo e faço coisas sem considerar as consequências.;Eu frequentemente digo e faço coisas sem considerar as consequências.
DII;I frequently make appointments without thinking about whether I will be able to keep them.;Eu frequentemente marco compromissos sem pensar se vou ser capaz de cumpri-los.;Frequentemente, marco compromissos sem pensar se serei capaz de cumpri-los.;I often schedule appointments without thinking about whether I’ll be able to keep them.;Freqüentemente, faço consultas sem pensar se serei capaz de mantê-las.;Frequentemente, marco compromissos sem pensar se poderei cumpri-los.;Eu frequentemente marco compromissos sem pensar se conseguirei cumpri-los.;Eu frequentemente faço compromissos sem pensar se eu vou conseguir cumpri-los.
DII;I am uncomfortable when I have to make up my mind rapidly.;Eu me sinto desconfortável quando tenho que tomar decisões rápidas;Me sinto desconfortável quando tenho que tomar uma decisão rapidamente.;I feel uncomfortable when I have to make quick decisions.;Fico desconfortável quando tenho que me decidir rapidamente.;Sinto-me desconfortável quando tenho que decidir rapidamente.;Eu me sinto desconfortável quando preciso tomar uma decisão rapidamente.;Eu me sinto desconfortável quando tenho que tomar uma decisão rapidamente.
DII;I do not like to do things quickly, even when I am doing something that is not very difficult.;Eu não gosto de fazer coisas rapidamente, mesmo quando eu estou fazendo algo que não é muito difícil.;Não gosto de fazer as coisas rapidamente, mesmo quando estou fazendo algo que não é muito difícil.;I don’t like doing things quickly, even when I’m doing something that’s not very difficult.;Não gosto de fazer as coisas rapidamente, mesmo quando estou fazendo algo que não é muito difícil.;Não gosto de fazer as coisas rapidamente, mesmo quando estou fazendo algo que não é muito difícil.;Eu não gosto de fazer as coisas rapidamente, mesmo quando estou fazendo algo que não é muito difícil.;Eu não gosto de fazer as coisas rapidamente, mesmo quando estou fazendo algo que não é muito difícil.
DII;I frequently buy things without thinking about whether or not I can really afford them.;Eu frequentemente compro coisas sem pensar se realmente posso ou não adquiri-las.;Frequentemente, compro coisas sem pensar se realmente posso pagá-las.;I often buy things without thinking whether I can really afford them.;Freqüentemente, compro coisas sem pensar se posso ou não comprá-las.;Com frequência, compro coisas sem pensar se realmente posso comprá-las ou não.;Eu frequentemente compro coisas sem pensar se realmente posso ou não pagar por elas.;Eu compro coisas com frequência sem pensar se realmente posso pagar por elas ou não.
DII;I am good at careful reasoning.;Eu sou bom em raciocinar cuidadosamente.;Sou bom em ponderar cuidadosamente.;I am good at reasoning carefully.;Eu sou bom em raciocínio cuidadoso.;Sou bom em raciocínio cuidadoso.;Sou bom em raciocínio cuidadoso.;Eu sou bom em raciocínio cuidadoso.
DII;I like to take part in really fast-paced conversations, where you do not have much time to think before you speak.;Eu gosto de participar de conversas rápidas, nas quais você não tem muito tempo para pensar antes de falar.;Gosto de participar de conversas realmente rápidas, onde você não tem muito tempo para pensar antes de falar.;I like to participate in fast-paced conversations here you don’t have much time to think before speaking.;Gosto de participar de conversas muito rápidas, onde você não tem muito tempo para pensar antes de falar.;Gosto de participar de conversas realmente rápidas, nas quais você não tem muito tempo para pensar antes de falar.;Gosto de participar de conversas muito rápidas, onde você não tem muito tempo para pensar antes de falar.;Eu gosto de participar de conversas muito aceleradas, onde você não tem muito tempo para pensar antes de falar.
DII;I like sports and games in which you have to choose your next move very quickly.;Eu gosto de esportes e jogos nos quais você tem que decidir o próximo movimento muito rapidamente.;Gosto de esportes e jogos nos quais você precisa escolher seu próximo movimento muito rapidamente.;I like sports and games in which you have to decide your next move very quickly.;Gosto de esportes e jogos em que você tem que escolher seu próximo movimento muito rapidamente.;Gosto de esportes e jogos em que é preciso escolher rapidamente o próximo passo.;Eu gosto de esportes e jogos nos quais você tem que escolher seu próximo movimento muito rapidamente.;Eu gosto de esportes e jogos nos quais você tem que escolher sua próxima jogada muito rapidamente.
DII;Many times the plans I make do not work out because I have not gone over them carefully enough in advance.;Muitas vezes os planos que faço não funcionam porque eu não os examinei suficientemente com cuidado em antecedência.;Muitas vezes, os planos que faço não dão certo porque não os revisei cuidadosamente com antecedência.;Often the plans I make don’t work out because I didn’t examine them carefully enough in advance.;Muitas vezes os planos que faço não funcionam porque não os examinei com cuidado suficiente com antecedência.;Muitas vezes, os planos que faço não dão certo porque não os analisei com antecedência suficiente.;Muitas vezes os planos que faço não dão certo porque não os revisei com cuidado suficiente antecipadamente.;Muitas vezes, os planos que faço não dão certo porque não os revisei com cuidado suficiente com antecedência.
DII;I often get into trouble because I do not think before I act.;Eu costumo ter problemas por não pensar antes de agir.;Frequentemente, me envolvo em problemas porque não penso antes de agir.;I often get into trouble for not thinking before acting.;Muitas vezes me meto em problemas porque não penso antes de agir.;Muitas vezes me meto em problemas porque não penso antes de agir.;Eu costumo me meter em problemas porque não penso antes de agir.;Eu geralmente me meto em encrencas porque não penso antes de agir.
DII;Most of the time, I can put my thoughts into words very rapidly.;Na maioria das vezes, eu posso transformar rapidamente meus pensamentos em palavras.;Na maioria das vezes, consigo expressar meus pensamentos em palavras muito rapidamente.;Most of the time, I can quickly turn my thoughts into words.;Na maioria das vezes, posso colocar meus pensamentos em palavras muito rapidamente.;Na maioria das vezes, consigo colocar meus pensamentos em palavras muito rapidamente.;Na maioria das vezes, consigo colocar meus pensamentos em palavras muito rapidamente.;Na maioria das vezes, consigo colocar meus pensamentos em palavras muito rapidamente.
DII;People have admired me because I can think quickly.;As pessoas me admiram por eu pensar rapidamente.;As pessoas me admiram porque consigo pensar rapidamente.;People admire me for thinking quickly.;As pessoas me admiram porque posso pensar rapidamente.;As pessoas me admiram porque consigo pensar rapidamente.;As pessoas me admiram porque consigo pensar rapidamente.;As pessoas me admiram porque consigo pensar rapidamente.
DII;I will often say whatever comes into my head without thinking first.;Eu costumo dizer as coisas que vêm a minha mente sem pensar antes.;Costumo dizer o que me vem à cabeça sem pensar primeiro.;I tend to say whatever comes to my mind without thinking first.;Muitas vezes digo o que vier à minha cabeça sem pensar primeiro.;Muitas vezes digo o que me vem à cabeça sem pensar primeiro.;Eu costumo dizer qualquer coisa que me vem à cabeça sem pensar antes.;Eu costumo dizer o que vier à minha cabeça sem pensar antes.
DII;Before making any important decision, I carefully weigh the pros and cons.;Antes de tomar qualquer decisão importante eu peso cuidadosamente nos prós e contras.;Antes de tomar qualquer decisão importante, avalio cuidadosamente os prós e contras.;Before making any important decision, I carefully weigh the pros and cons.;Antes de tomar qualquer decisão importante, peso cuidadosamente os prós e os contras.;Antes de tomar qualquer decisão importante, eu peso cuidadosamente os prós e os contras.;Antes de tomar qualquer decisão importante, eu analiso cuidadosamente os prós e os contras.;Antes de tomar qualquer decisão importante, eu avalio cuidadosamente os prós e contras.
DII;I rarely get involved in projects without first considering the potential problems.;Eu raramente me envolvo em projetos sem primeiro considerar os possíveis problemas.;Raramente me envolvo em projetos sem primeiro considerar os problemas potenciais.;I rarely get involved in projects without first considering the possible problems.;Raramente me envolvo em projetos sem primeiro considerar os problemas potenciais.;Raramente me envolvo em projetos sem antes considerar os possíveis problemas.;Raramente me envolvo em projetos sem antes considerar os problemas potenciais.;Eu raramente me envolvo em projetos sem antes considerar os problemas potenciais.
PSDQ;I am responsive to our child’s feelings or needs.;Eu respondo aos sentimentos ou necessidades do(a) meu (minha) filho(a);Sou sensível aos sentimentos ou necessidades do nosso filho.;I respond to my child’s feelings or needs.;Eu respondo aos sentimentos ou necessidades de nossos filhos.;Sou sensível aos sentimentos ou necessidades de nossos filhos.;Eu sou sensível aos sentimentos ou necessidades do nosso filho.;Eu estou atento aos sentimentos ou necessidades do nosso filho.
PSDQ;I use physical punishment as a way of disciplining our child.;Eu uso castigos físicos como forma de disciplinar meu (minha) filho(a).;Uso punição física como uma forma de disciplinar nosso filho.;I use physical punishment as a way to discipline my child.;Eu uso o castigo físico como forma de disciplinar nosso filho.;Eu uso o castigo físico como forma de disciplinar nosso filho.;Eu uso punição física como uma forma de disciplinar nosso filho.;Eu uso punição física como uma forma de disciplinar nosso filho.
PSDQ;I take our child’s desires into account before asking the child to do something.;Eu levo em conta a vontade do(a) meu (minha) filho(a) antes de lhe pedir para fazer alguma coisa.;Levo em consideração os desejos do nosso filho antes de pedir que ele faça algo.;I take my child’s wishes into account before asking him/her to do something.;Eu levo em consideração os desejos de nosso filho antes de pedir que ele faça algo.;Levo em conta os desejos de nosso filho antes de pedir que ele faça algo.;Eu levo em consideração os desejos do nosso filho antes de pedir para ele fazer algo.;Eu levo em consideração os desejos do meu filho antes de pedir que ele faça algo.
PSDQ;When our child asks why (he)(she) has to conform, I state: because I said so or I am your parent and I want you to.;"Quando meu (minha) filho(a) pergunta por que tem que obedecer, eu digo: ‘‘Porque eu disse que sim’’ ou ‘‘Porque eu sou seu (sua) pai/mãe e eu quero assim""";Quando nosso filho pergunta por que ele tem que se conformar, eu digo: porque eu disse ou eu sou seu pai/sua mãe e eu quero que você faça isso.;"When my child asks why he/she has to obey, I say: ""Because I said so"" or ""Because I’m your parent and I want it that way.""";Quando nosso filho pergunta por que (ele) (ela) tem que se conformar, eu afirmo: porque eu disse isso ou sou seu pai e quero que você se conforme.;Quando nosso filho pergunta por que ele tem de se conformar, eu digo: porque eu disse ou porque sou seu pai e quero que você se conforme.;Quando nosso filho(a) pergunta por que ele(a) tem que se conformar, eu respondo: porque eu disse ou sou seu pai/mãe e quero que você faça isso.;Quando nosso filho pergunta por que ele tem que se conformar, eu digo: porque eu disse assim ou eu sou seu pai/mãe e quero que você faça isso.
PSDQ;I explain to our child how we feel about the child’s good and bad behavior.;Eu explico ao (á) meu (minha) filho(a) como me sinto em relação ao seu bom e ao seu mau comportamento.;Explico ao nosso filho como nos sentimos em relação ao bom e ao mau comportamento dele.;I explain to my child how I feel about his/her good and bad behavior.;Eu explico ao nosso filho como nos sentimos sobre o bom e o mau comportamento da criança.;Explico ao nosso filho como nos sentimos em relação ao seu bom e mau comportamento.;Eu explico ao nosso filho como nos sentimos sobre o comportamento bom e ruim dele.;Eu explico ao nosso filho como nos sentimos em relação ao bom e mau comportamento da criança.
PSDQ;I spank when our child is disobedient.;Quando meu (minha) filho(a) é desobediente, eu dou uma palmada nele(a);Dou palmadas quando nosso filho é desobediente.;When my child is disobedient, I spank him/her.;Eu bato quando nosso filho é desobediente.;Dou palmadas quando nosso filho é desobediente.;Eu dou palmadas quando nosso filho é desobediente.;Eu dou palmada quando nosso filho é desobediente.
PSDQ;I encourage our child to talk about the child’s troubles.;Eu encorajo meu (minha) filho(a) a conversar sobre seus problemas.;Incentivo nosso filho a falar sobre os problemas dele.;I encourage my child to talk about his/her problems.;Eu encorajo nosso filho a falar sobre os problemas da criança.;Incentivo nosso filho a falar sobre seus problemas.;Eu incentivo nosso filho a falar sobre os problemas dele.;Eu incentivo nosso filho a falar sobre os problemas da criança.
PSDQ;I find it difficult to discipline our child.;Eu acho difícil disciplinar meu (minha) filho(a).;Acho difícil disciplinar nosso filho.;I find it hard to discipline my child.;Acho difícil disciplinar nosso filho.;Acho difícil disciplinar nosso filho.;Eu acho difícil disciplinar nosso filho.;Eu acho difícil disciplinar nosso filho.
PSDQ;I encourage our child to freely express (himself)(herself) even when disagreeing with parents.;Eu encorajo meu (minha) filho(a) a se expressar abertamente, mesmo quando eu não concordo com ele(a).;Incentivo nosso filho a se expressar livremente, mesmo quando discorda dos pais.;I encourage my child to express him/herself openly, even when I don’t agree.;Eu encorajo nosso filho a se expressar livremente, mesmo quando discorda dos pais.;Incentivo nossos filhos a se expressarem livremente, mesmo quando discordam dos pais.;Eu incentivo nosso(a) filho(a) a se expressar livremente, mesmo quando discorda dos pais.;Eu incentivo nosso filho a se expressar livremente, mesmo quando discorda dos pais.
PSDQ;I punish by taking privileges away from our child with little if any explanations.;Eu castigo meu (minha) filho(a) lhe tirando privilégios com pouca ou nenhuma explicação;Castigo tirando privilégios do nosso filho com poucas ou nenhuma explicação.;I punish my child by taking away privileges with little or no explanation.;Eu castigo tirando privilégios de nosso filho com pouca ou nenhuma explicação.;Eu puno tirando privilégios de nosso filho com pouca ou nenhuma explicação.;Eu puno tirando privilégios do nosso filho com poucas ou nenhumas explicações.;Eu castigo tirando privilégios do nosso filho com poucas ou nenhuma explicação.
PSDQ;I emphasize the reasons for rules.;Eu explico os motivos para as regras.;Enfatizo as razões para as regras.;I explain the reasons behind the rules.;Enfatizo as razões para as regras.;Enfatizo os motivos das regras.;Eu enfatizo as razões para as regras.;Eu enfatizo as razões para as regras.
PSDQ;I give comfort and understanding when our child is upset.;Eu dou conforto e compreensão ao(à) meu (minha) filho(a) quando ele(a) está chateado(a) ;Dou conforto e compreensão quando nosso filho está chateado.;I give comfort and understanding to my child when he/she is upset.;Eu dou conforto e compreensão quando nosso filho está chateado.;Dou conforto e compreensão quando nosso filho está chateado.;Eu dou conforto e compreensão quando nosso filho está chateado.;Eu dou conforto e compreensão quando nosso filho está chateado.
PSDQ;I yell or shout when our child misbehaves.;Eu grito ou berro quando meu (minha) filho(a) se comporta mal.;Grito ou berro quando nosso filho se comporta mal.;I yell or shout when my child misbehaves.;Eu grito ou grito quando nosso filho se comporta mal.;Eu grito ou berro quando nosso filho se comporta mal.;Eu grito ou berro quando nosso filho se comporta mal.;Eu grito quando nosso filho se comporta mal.
PSDQ;I give praise when our child is good.;Eu parabenizo meu (minha) filho(a) quando ele(a) se comporta bem.;Elogio quando nosso filho se comporta bem.;I praise my child when he/she behaves well.;Eu louvo quando nosso filho é bom.;Eu elogio quando nosso filho é bom.;Eu elogio quando nosso filho está bem.;Eu dou elogios quando nosso filho é bom.
PSDQ;I give into our child when the child causes a commotion about something.;Eu acabo cedendo quando meu (minha) filho(a) faz birra por alguma coisa.;Cedo ao nosso filho quando ele faz uma confusão sobre algo.;I end up giving in when my child throws a tantrum for something.;Eu entrego ao nosso filho quando ele causa comoção sobre alguma coisa.;Eu me rendo ao nosso filho quando ele causa um tumulto por alguma coisa.;Eu cedo ao nosso filho quando ele faz um alvoroço por alguma coisa.;Eu cedo ao nosso filho quando ele faz uma confusão por causa de algo.
PSDQ;I explode in anger towards our child.;Eu tenho explosões de raiva com meu (minha) filho(a).;Tenho uma explosão de raiva com nosso filho.;I have angry outbursts with my child.;Eu explodo de raiva em relação ao nosso filho.;Explodo de raiva contra nosso filho.;Eu explodo de raiva com nosso filho.;Eu explodo de raiva em direção ao nosso filho.
PSDQ;I threaten our child with punishment more often than actually giving it.;Eu ameaço castigar meu (minha) filho(a) mais vezes do que realmente o(a) castigo.;Ameaço nosso filho com punição mais frequentemente do que realmente aplico.;I threaten to punish my child more often than I actually do.;Eu ameaço nosso filho com punição com mais frequência do que realmente dando.;Ameaço nosso filho com castigos com mais frequência do que os aplico de fato.;Eu ameaço nosso filho com punição mais vezes do que realmente aplico.;Eu ameaço nosso filho com punição mais frequentemente do que realmente o faço.
